principio_activo_buscado,categoria,producto_nombre_real,marca,farmacias_disponible,n_farmacias,precio_min,precio_max,url_ejemplo
Metronidazol,antibiotico,Etron Suspensión Frasco 120 ml,ETRON,medicity,1,2.73,2.73,https://www.farmaciasmedicity.com/etron-suspension-frasco-con-120-ml/p
Metronidazol,antibiotico,Fangan Plus Ovulos Caja 6 Unidades,FANGAN,medicity,1,1.06,1.06,https://www.farmaciasmedicity.com/fangan-plus-ovulos-caja-6-unidades/p
Metronidazol,antibiotico,Gynotran Óvulos 750 / 200 mg Caja con 7 Unidades,GYNOTRAN,medicity,1,1.21,1.21,https://www.farmaciasmedicity.com/gynotran-ovulos-750--200-mg-caja-con-7-unidades/p
Metronidazol,antibiotico,Metronidazol 1000mg oxialfarm farma óvulos,Metronidazol,cruzazul|pharmacys,2,10.0,10.0,https://www.pharmacys.com.ec/metronidazol-1000mg-oxialfarm-farma-ovulos/p
Metronidazol,antibiotico,Metronidazol 1gr labovida,Metronidazol,cruzazul|pharmacys,2,9.4,9.4,https://www.pharmacys.com.ec/metronidazol-1gr-labovida/p
Metronidazol,antibiotico,Metronidazol 250mg/5ml labovida suspensión,Metronidazol,cruzazul|pharmacys,2,2.47,2.47,https://www.pharmacys.com.ec/metronidazol-250mg-5ml-labovida-suspension/p
Metronidazol,antibiotico,Metronidazol 500mg alianza life,Metronidazol,cruzazul|pharmacys,2,5.09,5.09,https://www.pharmacys.com.ec/metronidazol-500mg-alianza-life-solucion-inyectable/p
Metronidazol,antibiotico,Metronidazol 500mg kronos marca comprimidos,Metronidazol,cruzazul|pharmacys,2,6.0,6.0,https://www.pharmacys.com.ec/metronidazol-500mg-kronos-marca-comprimidos/p
Metronidazol,antibiotico,Metronidazol 500mg labovida óvulos,Metronidazol,cruzazul|pharmacys,2,4.7,4.7,https://www.pharmacys.com.ec/metronidazol-500mg-labovida-ovulos/p
Metronidazol,antibiotico,Metronidazol 500mg pharmatotal,Metronidazol,cruzazul|pharmacys,2,4.23,4.23,https://www.pharmacys.com.ec/metronidazol-500mg-pharmatotal/p
Metronidazol,antibiotico,Metronidazol 500mg pharmedic ampolla inyectable,Metronidazol,cruzazul|pharmacys,2,3.85,3.85,https://www.pharmacys.com.ec/metronidazol-500mg-pharmedic-ampolla-inyectable/p
Metronidazol,antibiotico,Metronidazol 500mg portugal - generico tableta,Metronidazol,cruzazul|pharmacys,2,12.0,12.0,https://www.pharmacys.com.ec/metronidazol-500mg-portugal-generico-tableta/p
