principio_activo_buscado,categoria,producto_nombre_real,marca,farmacias_disponible,n_farmacias,precio_min,precio_max,url_ejemplo
Gemfibrozilo,colesterol,Gemfibrozilo 600mg dyvenpro ecuagen tableta recubierta,Gemfibrozilo,cruzazul|pharmacys,2,6.2,6.2,https://www.pharmacys.com.ec/gemfibrozilo-600mg-dyvenpro-ecuagen-tableta-recubierta/p
Gemfibrozilo,colesterol,Gemfibrozilo 600mg ecuaquimica - mintlab comprimidos recubiertos,Gemfibrozilo,cruzazul|pharmacys,2,9.3,9.3,https://www.pharmacys.com.ec/gemfibrozilo-600mg-ecuaquimica-mintlab-comprimidos-recubiertos/p
Gemfibrozilo,colesterol,Gemfibrozilo 600mg la sante tableta,Gemfibrozilo,cruzazul|pharmacys,2,5.6,5.6,https://www.pharmacys.com.ec/gemfibrozilo-600mg-la-sante-tableta/p
Gemfibrozilo,colesterol,Gemfibrozilo 600mg labovida tabletas recubiertas,Gemfibrozilo,cruzazul|pharmacys,2,5.2,5.2,https://www.pharmacys.com.ec/gemfibrozilo-600mg-labovida-tabletas-recubiertas/p
Gemfibrozilo,colesterol,Gemfibrozilo 600mg leterago - genfar tableta,Gemfibrozilo,cruzazul|pharmacys,2,5.78,5.78,https://www.pharmacys.com.ec/gemfibrozilo-600mg-leterago-genfar-tableta/p
Gemfibrozilo,colesterol,Gemfibrozilo 600mg tecnoquimicas - genericos tableta recubierta,Gemfibrozilo,cruzazul|pharmacys,2,6.2,6.2,https://www.pharmacys.com.ec/gemfibrozilo-600mg-tecnoquimicas-genericos-tableta-recubierta/p
Gemfibrozilo,colesterol,Gemfibrozilo 900mg tecnoquimicas - genericos tableta recubierta,Gemfibrozilo,cruzazul|pharmacys,2,16.07,16.07,https://www.pharmacys.com.ec/gemfibrozilo-900mg-tecnoquimicas-genericos-tableta-recubierta/p
Gemfibrozilo,colesterol,Gemfibrozilo Genfar Tabletas Recubiertas 600 mg Caja con 20 Unidades,GENFAR,medicity,1,0.27,0.27,https://www.farmaciasmedicity.com/gemfibrozilo-genfar-tabletas-recubiertas-600-mg-caja-con-20-unidades/p
Gemfibrozilo,colesterol,Gemfibrozilo Tabletas  600 mg x 20,Gemfibrozilo,cruzazul|pharmacys,2,4.96,6.2,https://www.pharmacys.com.ec/gemfibrozilo-600mg-garcos-nifa-genericos-tableta-98588-1/p
Omega 3 aceite de pescado,colesterol,Herbalmax triple omega 3-6-9 100 softgels,Herbalmax,cruzazul|pharmacys,2,20.0,20.0,https://www.pharmacys.com.ec/herbalmax-triple-omega-3-6-9-100-softgels/p
Omega 3 aceite de pescado,colesterol,Krillomex 44.4 gr,Krillomex,cruzazul|pharmacys,2,21.6,21.6,https://www.pharmacys.com.ec/krillomex-444-gr/p
Omega 3 aceite de pescado,colesterol,Mason Omega 3 Cápsulas Blandas 1000 mg Frasco 60 Unidades,MASON,medicity,1,0.21,0.21,https://www.farmaciasmedicity.com/mason-omega-3-capsulas-blandas-1000-mg-frasco-con-60-unidades/p
Omega 3 aceite de pescado,colesterol,Omega 3 cápsulas x 60,Omega 3,cruzazul|pharmacys,2,11.12,13.9,https://www.pharmacys.com.ec/omega-3-capsulas-x-60/p
Omega 3 aceite de pescado,colesterol,Xtralife Omega 3 Cápsula Blanda 1000 mg 100 Unidades,XTRALIFE,medicity,1,16.55,16.55,https://www.farmaciasmedicity.com/omega-3-xtralife-capsula-blanda-1000-mg-con-100-unidades/p
Omega 3 aceite de pescado,colesterol,Xtralife cápsulas x 90,Xtralife,cruzazul|pharmacys,2,17.97,23.96,https://www.pharmacys.com.ec/xtralife-capsulas-x-90/p
Rosuvastatina,colesterol,Crestor Comprimido Recubierto 10 mg Caja Con 30 Unidades,CRESTOR,medicity,1,0.94,0.94,https://www.farmaciasmedicity.com/crestor-comprimido-recubierto-caja-con-30-unidades/p
Rosuvastatina,colesterol,Crestor Tabletas Recubiertas 20 mg Caja Con 30 Unidades,CRESTOR,medicity,1,1.89,1.89,https://www.farmaciasmedicity.com/crestor-tabletas-recubiertas-caja-con-30-unidades/p
Rosuvastatina,colesterol,Liparon Comprimidos Recubiertos 40mg Caja 30 Unidades,LIPARON,medicity,1,2.57,2.57,https://www.farmaciasmedicity.com/liparon-comprimidos-recubiertos-40mg-caja-30-unidades-1/p
Rosuvastatina,colesterol,Recolmax Tabletas 10mg+10mg Caja 30 Unidades,RECOLMAX,medicity,1,1.05,1.05,https://www.farmaciasmedicity.com/recolmax-tabletas-10mg-10mg-caja-30-unidades-1/p
Rosuvastatina,colesterol,Recolmax Tabletas Recubiertas 20mg+10mg Caja 30 Unidades,RECOLMAX,medicity,1,1.39,1.39,https://www.farmaciasmedicity.com/recolmax-tabletas-recubiertas-20mg-10mg-caja-30-unidades-1/p
Rosuvastatina,colesterol,Rosucol Comprimidos Recubiertas 20 mg Caja 30 Unidades,ROSUCOL,medicity,1,1.7,1.7,https://www.farmaciasmedicity.com/rosucol-comprimidos-recubiertas-20-mg-caja-30-unidades-1/p
Rosuvastatina,colesterol,Rosucol E Tableta Recubierta 10/10mg Caja 30 Unidades,ROSUCOL,medicity,1,1.58,1.58,https://www.farmaciasmedicity.com/rosucol-e-tableta-recubierta-10-10mg-caja-30-unidades-1/p
Rosuvastatina,colesterol,Rosuvastatina 10 mg x30,Rosuvastatina,cruzazul|pharmacys,2,22.5,22.5,https://www.pharmacys.com.ec/rosuvastatina-10mg-la-sante-tabletas-recubiertas/p
Rosuvastatina,colesterol,Rosuvastatina 20mg la sante tabletas recubiertas,Rosuvastatina,cruzazul|pharmacys,2,27.0,27.0,https://www.pharmacys.com.ec/rosuvastatina-20mg-la-sante-tabletas-recubiertas/p
Rosuvastatina,colesterol,Rosuvina 10/40mg leterago - legrand,Rosuvina,cruzazul|pharmacys,2,60.0,60.0,https://www.pharmacys.com.ec/rosuvina-10-40mg-leterago-legrand/p
Rosuvastatina,colesterol,Rux Comprimido Recubierto 10 mg Caja 30 Unidades,RUX,medicity,1,0.88,0.88,https://www.farmaciasmedicity.com/rux-comprimido-recubierto-10-mg-caja-30-unidades-1/p
Rosuvastatina,colesterol,Rux Comprimido Recubierto 20 mg Caja Con 30 Unidades,RUX,medicity,1,1.58,1.58,https://www.farmaciasmedicity.com/rux-comprimido-recubierto-20-mg-caja-con-30-unidades-1/p
Rosuvastatina,colesterol,Rux Comprimido Recubierto 5 mg Caja 30 Unidades,RUX,medicity,1,0.39,0.39,https://www.farmaciasmedicity.com/rux-comprimido-recubierto-5-mg-caja-30-unidades-1/p
Simvastatina,colesterol,Simvastatina 20mg dyvenpro ecuagen tabletas recubiertas,Simvastatina,cruzazul|pharmacys,2,4.5,4.5,https://www.pharmacys.com.ec/simvastatina-20mg-dyvenpro-ecuagen-tabletas-recubiertas/p
Simvastatina,colesterol,Simvastatina 20mg kronos genericos tableta,Simvastatina,cruzazul|pharmacys,2,43.93,43.93,https://www.pharmacys.com.ec/simvastatina-20mg-kronos-marca-tableta/p
Simvastatina,colesterol,Simvastatina 20mg la sante tableta,Simvastatina,cruzazul|pharmacys,2,4.5,4.5,https://www.pharmacys.com.ec/simvastatina-20mg-la-sante-tableta/p
Simvastatina,colesterol,Simvastatina 20mg labovida tableta recubierta,Simvastatina,cruzazul|pharmacys,2,9.0,9.0,https://www.pharmacys.com.ec/simvastatina-20mg-labovida-tableta-recubierta/p
Simvastatina,colesterol,Simvastatina 20mg leterago - genfar cápsulas,Simvastatina,cruzazul|pharmacys,2,4.5,4.5,https://www.pharmacys.com.ec/simvastatina-20mg-leterago-genfar-capsulas/p
Simvastatina,colesterol,Simvastatina 20mg tecnoquimicas - genericos tableta,Simvastatina,cruzazul|pharmacys,2,4.5,4.5,https://www.pharmacys.com.ec/simvastatina-20mg-tecnoquimicas-genericos-tableta/p
Simvastatina,colesterol,Simvastatina 40 mg Tabletas Recubiertas Caja x10,Simvastatina,cruzazul|pharmacys,2,5.0,5.0,https://www.pharmacys.com.ec/simvastatina-40mg-dyvenpro-ecuagen-tableta-recubierta/p
Simvastatina,colesterol,Simvastatina 40mg garcos - nifa genericos tableta,Simvastatina,cruzazul|pharmacys,2,5.0,5.0,https://www.pharmacys.com.ec/simvastatina-40mg-garcos-nifa-genericos-tableta/p
Simvastatina,colesterol,Simvastatina 40mg labovida tableta recubierta,Simvastatina,cruzazul|pharmacys,2,10.0,10.0,https://www.pharmacys.com.ec/simvastatina-40mg-labovida-tableta-recubierta/p
Simvastatina,colesterol,Simvastatina 40mg leterago - genfar cápsulas,Simvastatina,cruzazul|pharmacys,2,5.0,5.0,https://www.pharmacys.com.ec/simvastatina-40mg-leterago-genfar-capsulas/p
Simvastatina,colesterol,Simvastatina Genfar Tabletas Recubiertas 40 mg Caja 10 Unidades,GENFAR,medicity,1,0.38,0.38,https://www.farmaciasmedicity.com/simvastatina-genfar-tabletas-recubiertas-40-mg-caja-10-unidades-1/p
Simvastatina,colesterol,Simvastatina Genfar Tabletas Recubierto 20mg Caja 10 Unidades,GENFAR,medicity,1,0.36,0.36,https://www.farmaciasmedicity.com/simvastatina-genfar-tabletas-recubierto-20mg-caja-10-unidades-1/p
Simvastatina,colesterol,Vytorin Comprimido 10/20 mg Caja 28 Unidades,VYTORIN,medicity,1,1.64,1.64,https://www.farmaciasmedicity.com/vytorin-comprimido-1020-mg-caja-con-28-unidades/p
Simvastatina,colesterol,Vytorin Comprimidos 10/10mg Caja 28 Unidades,VYTORIN,medicity,1,1.25,1.25,https://www.farmaciasmedicity.com/vytorin-comprimidos-10mg-10mg-caja-28-unidades-1/p
Simvastatina,colesterol,Vytorin Comprimidos 10/40mg Caja 28 Unidades,VYTORIN,medicity,1,2.61,2.61,https://www.farmaciasmedicity.com/vytorin-comprimidos-40mg-10mg-caja-28-unidades-1/p
Simvastatina,colesterol,Zetina Tabletas Recubiertas 20 mg Caja 30 Unidades,ZETINA,medicity,1,0.41,0.41,https://www.farmaciasmedicity.com/zetina-tabletas-recubiertas-20-mg-caja-con-30-unidades/p
Dapagliflozina,diabetes,Fanter 10mg quifatex dist medicamenta fanter – inhibidor sglt2 oral,Fanter,cruzazul|pharmacys,2,45.9,45.9,https://www.pharmacys.com.ec/fanter-10mg-quifatex-dist-medicamenta-fanter-inhibidor-sglt2/p
Dapagliflozina,diabetes,Fanter Comprimidos Recubiertos 10 mg Caja 30 Unidades,FANTER,medicity,1,1.22,1.22,https://www.farmaciasmedicity.com/fanter-comprimidos-recubiertos-10-mg-caja-30-unidades-1/p
Dapagliflozina,diabetes,Forxiga Comprimidos Recubiertas 10 mg Caja 30 Unidades,FORXIGA,medicity,1,1.56,1.56,https://www.farmaciasmedicity.com/forxiga-comprimidos-recubiertas-10-mg-caja-30-unidades-1/p
Dapagliflozina,diabetes,Paziglip Duo 10 mg/1000 mg x 28,Paziglip,cruzazul|pharmacys,2,41.49,41.49,https://www.pharmacys.com.ec/paziglip-duo-10mg-1000mg-x28/p
Dapagliflozina,diabetes,Paziglip Duo 5 mg/1000 mg x 28,Paziglip,cruzazul|pharmacys,2,21.17,21.17,https://www.pharmacys.com.ec/paziglip-duo-5mg-1000mg-x28/p
Dapagliflozina,diabetes,Xigduo XR Comprimidos Recubiertos Caja con 30 Unidades,XIGDUO,medicity,1,1.23,1.23,https://www.farmaciasmedicity.com/xigduo-xr-comprimidos-recubiertos-caja-con-30-unidades/p
Empagliflozina,diabetes,Jardiance Comprimidos Recubiertos Caja con 30 Unidades,JARDIANCE,medicity,1,1.6,1.6,https://www.farmaciasmedicity.com/jardiance-comprimidos-recubiertos-caja-con-30-unidades/p
Empagliflozina,diabetes,Jardiance Duo Comprimidos Recubiertos Caja Con 60 Unidades,JARDIANCE,medicity,1,1.14,1.14,https://www.farmaciasmedicity.com/jardiance-duo-comprimidos-recubiertos-caja-con-60-unidades/p
Glibenclamida,diabetes,Glibenclamida 5mg ecuaquimica - mintlab comprimidos,Glibenclamida,cruzazul|pharmacys,2,2.4,2.4,https://www.pharmacys.com.ec/glibenclamida-5mg-ecuaquimica-mintlab-comprimidos/p
Glibenclamida,diabetes,Glibenclamida 5mg tecnoquimicas - genericos tableta,Glibenclamida,cruzazul|pharmacys,2,2.4,2.4,https://www.pharmacys.com.ec/glibenclamida-5mg-tecnoquimicas-genericos-tableta/p
Glibenclamida,diabetes,Glibenclamida Mk Tabletas 5 mg Caja Con 30 Unidades,MK,medicity,1,0.06,0.06,https://www.farmaciasmedicity.com/glibenclamida-mk-tabletas-5-mg-caja-con-30-unidades/p
Glibenclamida,diabetes,Glucovance Tabletas Recubiertas Caja Con 30 Unidades,GLUCOVANCE,medicity,1,0.26,0.26,https://www.farmaciasmedicity.com/glucovance-tabletas-recubiertas-caja-con-30-unidades/p
Glibenclamida,diabetes,Metfordan 500/5mg danivet tableta,Metfordan,cruzazul|pharmacys,2,4.53,4.53,https://www.pharmacys.com.ec/metfordan-500-5mg-danivet-tableta/p
Glimepirida,diabetes,Amaryl M Comprimido Recubierto Caja Con 16 Unidades,AMARYL,medicity,1,0.51,0.51,https://www.farmaciasmedicity.com/amaryl-m-comprimido-recubierto-caja-con-16-unidades/p
Glimepirida,diabetes,Glimepirida 2mg tecnoquimicas - genericos tableta,Glimepirida,cruzazul|pharmacys,2,3.9,3.9,https://www.pharmacys.com.ec/glimepirida-2mg-tecnoquimicas-genericos-tableta/p
Glimepirida,diabetes,Glimepirida 4mg tecnoquimicas - genericos tableta,Glimepirida,cruzazul|pharmacys,2,6.8,6.8,https://www.pharmacys.com.ec/glimepirida-4mg-tecnoquimicas-genericos-tableta/p
Insulina detemir,diabetes,Levemir 100ui leterago - novo nordisk solución inyectable,Levemir,cruzazul|pharmacys,2,15.92,15.92,https://www.pharmacys.com.ec/levemir-100ui-leterago-novo-nordisk-solucion-inyectable/p
Insulina glargina,diabetes,Lantus Solostar Solución Inyectable 100Ui/ mL Caja con 1 Unidad,LANTUS,medicity,1,14.33,14.33,https://www.farmaciasmedicity.com/lantus-solostar-solucion-inyectable-100ui-ml-caja-con-1-unidad/p
Insulina glargina,diabetes,Toujeo Solución Inyectable 300u/Ml Prellenado 1.5 ml 1 Unidad Cf,TOUJEO,medicity,1,30.49,30.49,https://www.farmaciasmedicity.com/toujeo-solucion-inyectable-300u-ml-prellenado-1-5-ml-1-unidad-cf-1/p
Insulina glulisina,diabetes,Apidra Solostar Solución Inyectable 100Ui/ mL Con 3 mL,APIDRA,medicity,1,12.46,12.46,https://www.farmaciasmedicity.com/apidra-solostar-solucion-inyectable-100ui-ml-con-3-ml/p
Insulina lispro,diabetes,Humalog 100ui quifatex dist medicamenta solución inyectable,Humalog,cruzazul|pharmacys,2,68.5,68.5,https://www.pharmacys.com.ec/humalog-100ui-quifatex-dist-medicamenta-solucion-inyectable/p
Insulina lispro,diabetes,Humalog 100ui quifatex dist medicamenta solución inyectable mix lapicero,Humalog,cruzazul|pharmacys,2,68.5,68.5,https://www.pharmacys.com.ec/humalog-100ui-quifatex-dist-medicamenta-solucion-inyectable-mix-lapicero/p
Insulina mezcla 70/30,diabetes,Insulina Humulin 70/30 100 UI/ml Vial 10 ml,Humulin,cruzazul|pharmacys,2,22.14,22.14,https://www.pharmacys.com.ec/humulin-100ui-quifatex-dist-medicamenta-suspension-30-70/p
Insulina mezcla 70/30,diabetes,Novolin 70/30 Insulina 100 UI/mL Frasco 10 mL,Novolin,cruzazul|pharmacys,2,14.4,18.0,https://www.pharmacys.com.ec/novolin-100ui-leterago-novo-nordisk-suspension-inyectable-1042-13741/p
Insulina mezcla 70/30,diabetes,Novolin penf 70/30 s-inyx100uix3mx5,Novolin,cruzazul|pharmacys,2,34.21,34.21,https://www.pharmacys.com.ec/novolin-100ui-leterago-novo-nordisk-suspension-inyectable-1652-13741/p
Linagliptina,diabetes,Glipnal 5 mg x 30,Glipnal,cruzazul|pharmacys,2,40.03,40.03,https://www.pharmacys.com.ec/glipnal-5mg-x30/p
Linagliptina,diabetes,"Glipnal Duo 2,5 mg/1000 mg x 60",Glipnal,cruzazul|pharmacys,2,41.82,41.82,https://www.pharmacys.com.ec/glipnal-duo-2-5mg-1000mg-x60/p
Linagliptina,diabetes,"Glipnal Duo 2,5 mg/500 mg x 60",Glipnal,cruzazul|pharmacys,2,41.82,41.82,https://www.pharmacys.com.ec/glipnal-duo-2-5mg-500mg-x60/p
Linagliptina,diabetes,"Glipnal Duo 2,5 mg/850 mg x 60",Glipnal,cruzazul|pharmacys,2,41.82,41.82,https://www.pharmacys.com.ec/glipnal-duo-2-5mg-850mg-x60/p
Linagliptina,diabetes,Glyxambi Comprimidos Recubiertas 25/5mg Caja 30 Unidades,GLYXAMBI,medicity,1,2.78,2.78,https://www.farmaciasmedicity.com/glyxambi-comprimidos-recubiertas-25-5mg-caja-30-unidades-1/p
Linagliptina,diabetes,Trayenta Duo Comprimidos Recubiertos 2.5/500 mg Caja 60 Unidades,TRAYENTA,medicity,1,0.83,0.83,https://www.farmaciasmedicity.com/trayenta-duo-comprimidos-recubiertos-25500-mg-caja-con-60-unidades/p
Linagliptina,diabetes,Trayenta Duo Comprimidos Recubiertos Caja Con 60 Unidades,TRAYENTA,medicity,1,0.83,0.83,https://www.farmaciasmedicity.com/trayenta-duo-comprimidos-recubiertos-caja-con-60-unidades/p
Liraglutida,diabetes,Saxenda Solución Inyectable Prell 6mg/ml Caja 3 Unidades,SAXENDA,medicity,1,104.83,104.83,https://www.farmaciasmedicity.com/saxenda-solucion-inyectable-prell-6mg-ml-caja-3-unidades-1/p
Metformina,diabetes,Glicenex Sr Comprimidos 750 mg Liberación Prolongada Caja Con 30 Unidades,GLICENEX,medicity,1,0.55,0.55,https://www.farmaciasmedicity.com/glicenex-sr-comprimidos-750-mg-liberacion-prolongada-caja-con-30-unidades/p
Metformina,diabetes,Glicenex Sr Comprimidos Liberación Prolongada 1000 mg Caja 30 Unidades,GLICENEX,medicity,1,0.92,0.92,https://www.farmaciasmedicity.com/glicenex-sr-comprimidos-liberacion-prolongada-1000-mg-caja-30-unidades-1/p
Metformina,diabetes,Glicenex Sr Comprimidos Recubiertos 500 mg Caja Con 30 Unidades,GLICENEX,medicity,1,0.48,0.48,https://www.farmaciasmedicity.com/glicenex-sr-comprimidos-recubiertos-500-mg-caja-con-30-unidades/p
Metformina,diabetes,Glucocid Comprimidos Recubiertos 850 mg Caja 30 Unidades,GLUCOCID,medicity,1,0.21,0.21,https://www.farmaciasmedicity.com/glucocid-comprimidos-recubiertos-850-mg-caja-con-30-unidades/p
Metformina,diabetes,Glucofage Tabletas Caja Con 60 Unidades,GLUCOFAGE,medicity,1,0.22,0.22,https://www.farmaciasmedicity.com/glucofage-tabletas-caja-con-60-unidades/p
Metformina,diabetes,Glucofage Xr Tabletas Liberación Prolongada Caja Con 30 Unidades,GLUCOFAGE,medicity,1,0.76,0.76,https://www.farmaciasmedicity.com/glucofage-xr-tabletas-liberacion-prolongada-caja-con-30-unidades/p
Metformina,diabetes,Metformina 1000mg berkanafarma tabletas recubiertas,Metformina,cruzazul|pharmacys,2,11.4,11.4,https://www.pharmacys.com.ec/metformina-1000mg-berkana-berkana-tabletas-recubiertas/p
Metformina,diabetes,Metformina 1000mg caplin point - generico tableta,Metformina,cruzazul|pharmacys,2,11.4,11.4,https://www.pharmacys.com.ec/metformina-1000mg-caplin-point-generico-tableta/p
Metformina,diabetes,Metformina 1000mg jaspharm generico tabletas recubiertas,Metformina,cruzazul|pharmacys,2,11.1,11.1,https://www.pharmacys.com.ec/metformina-1000mg-jaspharm-generico-tabletas-recubiertas/p
Metformina,diabetes,Metformina 1000mg labovida tabletas recubiertas,Metformina,cruzazul|pharmacys,2,5.4,9.0,https://www.pharmacys.com.ec/metformina-1000mg-labovida-tabletas-recubiertas/p
Metformina,diabetes,Metformina 500mg berkanafarma tabletas recubiertas,Metformina,cruzazul|pharmacys,2,7.5,7.5,https://www.pharmacys.com.ec/metformina-500mg-berkana-berkana-tabletas-recubiertas/p
Metformina,diabetes,Metformina 500mg labovida tableta recubierta,Metformina,cruzazul|pharmacys,2,3.24,5.4,https://www.pharmacys.com.ec/metformina-500mg-labovida-tableta-recubierta/p
Metformina,diabetes,Metformina 850 mg 10 Tabletas,Metformina,cruzazul|pharmacys,2,3.28,4.1,https://www.pharmacys.com.ec/metformina-850mg-pharmedic/p
Metformina,diabetes,Metformina 850mg berkanafarma tabletas recubiertas,Metformina,cruzazul|pharmacys,2,8.1,8.1,https://www.pharmacys.com.ec/metformina-850mg-berkana-berkana-tabletas-recubiertas/p
Metformina,diabetes,Metformina 850mg leterago - genfar comprimidos,Metformina,cruzazul|pharmacys,2,8.1,8.1,https://www.pharmacys.com.ec/metformina-850mg-leterago-genfar-comprimidos/p
Metformina,diabetes,Metformina 850mg tecnoquimicas - genericos tableta,Metformina,cruzazul|pharmacys,2,5.1,5.1,https://www.pharmacys.com.ec/metformina-850mg-tecnoquimicas-genericos-tableta/p
Metformina,diabetes,Metformina Bkf Tabletas Recubiertas 500 mg Caja 30 Unidades,BKF,medicity,1,0.19,0.19,https://www.farmaciasmedicity.com/metformina-bkf-tabletas-recubiertas-500-mg-caja-30-unidades-1/p
Metformina,diabetes,Metformina Bkf Tabletas Recubiertas 850 mg Caja 30 Unidades,BKF,medicity,1,0.25,0.25,https://www.farmaciasmedicity.com/metformina-bkf-tabletas-recubiertas-850-mg-caja-30-unidades-1/p
Metformina,diabetes,Metformina Bkf Tabletas Recubierto 1000mg Caja 30 Unidades,BKF,medicity,1,0.28,0.28,https://www.farmaciasmedicity.com/metformina-bkf-tabletas-recubierto-1000mg-caja-30-unidades-1/p
Metformina,diabetes,Metformina Nifa Tabletas Recubiertas 500 mg Caja con 30 Unidades,NIFA,medicity,1,0.15,0.15,https://www.farmaciasmedicity.com/metformina-nifa-tabletas-recubiertas-500-mg-caja-con-30-unidades-1/p
Metformina liberacion prolongada,diabetes,Altuxerin Duo 100 mg/1000 mg x 28,Altuxerin,cruzazul|pharmacys,2,49.84,49.84,https://www.pharmacys.com.ec/altuxerin-duo-100mg-1000mg-x28/p
Metformina liberacion prolongada,diabetes,Altuxerin Duo 50 mg/1000 mg x 28,Altuxerin,cruzazul|pharmacys,2,31.08,31.08,https://www.pharmacys.com.ec/altuxerin-duo-50mg-1000mg-x28/p
Metformina liberacion prolongada,diabetes,Circadin Tabletas De Liberación Prolongada 2mg Caja 30 Unidades,CIRCADIN,medicity,1,1.11,1.11,https://www.farmaciasmedicity.com/circadin-tabletas-de-liberacion-prolongada-2mg-caja-30-unidades-1/p
Metformina liberacion prolongada,diabetes,Dexilant Cápsulas Liberación Prolongada Caja Con 14 Unidades,DEXILANT,medicity,1,1.38,1.38,https://www.farmaciasmedicity.com/dexilant-capsulas-liberacion-prolongada-caja-con-14-unidades/p
Metformina liberacion prolongada,diabetes,Dexopral Cápsulas Liberación Prolongada Caja Con 30 Unidades,DEXOPRAL,medicity,1,1.21,1.21,https://www.farmaciasmedicity.com/dexopral-capsulas-liberacion-prolongada-caja-con-30-unidades/p
Metformina liberacion prolongada,diabetes,Dolo-Neurobión Retard Tabletas Liberación Prolongada 20 Unidades,DOLO-NEUROBION,medicity,1,1.12,1.12,https://www.farmaciasmedicity.com/dolo-neurobion-tabletas-liberacion-prolongada-caja-con-20-unidades/p
Metformina liberacion prolongada,diabetes,Enablex Comprimidos De Liberación Prolongada 7.5mg Caja 28 Unidades,ENABLEX,medicity,1,1.33,1.33,https://www.farmaciasmedicity.com/enablex-comprimidos-de-liberacion-prolongada-7-5mg-caja-28-unidades-1/p
Metformina liberacion prolongada,diabetes,Glucofage Xr Comprimidos 750 mg Liberación Prolongada 30 Unidades,GLUCOFAGE,medicity,1,0.61,0.61,https://www.farmaciasmedicity.com/glucofage-xr-comprimidos-750-mg-liberacion-prolongada-30-unidades/p
Metformina liberacion prolongada,diabetes,Hiprostam 0.4/0.5mg rocnarf d - cápsulas de liberación prolongada,Hiprostam,cruzazul|pharmacys,2,28.8,28.8,https://www.pharmacys.com.ec/hiprostam-04-05mg-rocnarf-marca-d-capsulas-de-liberacion-prolongada/p
Metformina liberacion prolongada,diabetes,Mellimet 1000 mg x 30,Mellimet,cruzazul|pharmacys,2,11.76,11.76,https://www.pharmacys.com.ec/mellimet-1000mg-x30/p
Metformina liberacion prolongada,diabetes,Mellimet 500 mg x 30,Mellimet,cruzazul|pharmacys,2,11.76,11.76,https://www.pharmacys.com.ec/mellimet-500mg-x30/p
Metformina liberacion prolongada,diabetes,Mellimet 750 mg x 30,Mellimet,cruzazul|pharmacys,2,16.33,16.33,https://www.pharmacys.com.ec/mellimet-750mg-x30/p
Metformina liberacion prolongada,diabetes,Urocit Tabletas 1080 mg Liberación Prolongada 100 Unidades,UROCIT,medicity,1,33.22,33.22,https://www.farmaciasmedicity.com/urocit-tabletas-1080-mg-liberacion-prolongada-100-unidades/p
Semaglutida,diabetes,Dutide 3 mg Semaglutida 30 Comprimidos,DUTIDE,medicity,1,3.9,3.9,https://www.farmaciasmedicity.com/dutide-3-mg-semaglutida-30-comprimidos/p
Semaglutida,diabetes,Dutide 7 mg Semaglutida 30 Comprimidos,DUTIDE,medicity,1,3.9,3.9,https://www.farmaciasmedicity.com/dutide-7-mg-semaglutida-30-comprimidos/p
Semaglutida,diabetes,Ozempic Duald Solución Inyectable 0.25/0.5mg 1.5ml Caja con Frasco,OZEMPIC,medicity,1,178.66,178.66,https://www.farmaciasmedicity.com/ozempic-duald-solucion-inyectable-0-25-0-5mg-1-5ml-caja-con-frasco-1/p
Sitagliptina,diabetes,Altuxerin 100 mg x 28,Altuxerin,cruzazul|pharmacys,2,44.8,44.8,https://www.pharmacys.com.ec/altuxerin-100mg-x28/p
Sitagliptina,diabetes,Altuxerin 50 mg x 14,Altuxerin,cruzazul|pharmacys,2,22.4,22.4,https://www.pharmacys.com.ec/altuxerin-50mg-x14/p
Sitagliptina,diabetes,Janumet Comprimidos Recubiertos 50/850 mg,JANUMET,medicity,1,0.64,0.64,https://www.farmaciasmedicity.com/janumet-comprimidos-recubiertos-50850-mg/p
Sitagliptina,diabetes,Janumet Comprimidos Recubiertos Caja Con 28 Unidades,JANUMET,medicity,1,0.67,0.67,https://www.farmaciasmedicity.com/janumet-comprimidos-recubiertos-caja-con-28-unidades/p
Sitagliptina,diabetes,Janumet Comprimidos Recubiertos Caja Con 56 Unidades,JANUMET,medicity,1,0.75,0.75,https://www.farmaciasmedicity.com/janumet-comprimidos-recubiertos-caja-con-56-unidades/p
Sitagliptina,diabetes,Paziglip 10 mg x 30,Paziglip,cruzazul|pharmacys,2,45.0,45.0,https://www.pharmacys.com.ec/paziglip-10mg-x30/p
Tiras reactivas glucosa,diabetes,Accu-Chek Guide Tiras Reactivas con 50 Unidades,ACCU-CHEK GUIDE,medicity,1,43.37,43.37,https://www.farmaciasmedicity.com/accu-chek-guide-tiras-reactivas-con-50-unidades/p
Tiras reactivas glucosa,diabetes,Accu-Chek Instant Tiras Reactivas 25 Unidades,ACCU-CHEK INSTANT,medicity,1,19.66,19.66,https://www.farmaciasmedicity.com/accu-chek-instant-tiras-reactivas-25-unidades/p
Tiras reactivas glucosa,diabetes,Accu-Chek Instant Tiras Reactivas con 50 Unidades,ACCU-CHEK INSTANT,medicity,1,34.04,34.04,https://www.farmaciasmedicity.com/accu-chek-instant-tiras-reactivas-con-50-unidades/p
Tiras reactivas glucosa,diabetes,Accu-Chek Softclix Lancetas con 25 Unidades,ACCU-CHEK SOFTCLIX,medicity,1,6.14,6.14,https://www.farmaciasmedicity.com/accu-chek-softclix-lancetas-con-25-unidades/p
Tiras reactivas glucosa,diabetes,Ge Tiras Reactivas De Glucosa + Lancetas 50 Unidades,GE,medicity,1,30.09,30.09,https://www.farmaciasmedicity.com/ge-tiras-reactivas-de-glucosa-lancetas-50-unidades-1/p
