principio_activo_buscado,farmacia,producto_nombre,marca,precio,precio_lista,categorias,url
Perindopril,pharmacys,Coversyl Com-Rec x10MG x30,Coversyl,32.32,32.32,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/coversyl-com-rec-x10mg-x30/p
Perindopril,pharmacys,Coversyl Com-Rec x5MG x30,Coversyl,24.72,24.72,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/coversyl-com-rec-x5mg-x30/p
Perindopril,pharmacys,Coveram Com x5/5MG x30,Coveram,48.0,48.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/coveram-com-x5-5mg-x30/p
Perindopril,cruzazul,Coveram Com x10/5MG x30,Coveram,49.68,49.68,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/coveram-com-x10-5mg-x30/p
Perindopril,cruzazul,Preterax Com x10/2.5MG x30,Preterax,49.68,49.68,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/preterax-com-x10-2-5mg-x30/p
Perindopril,cruzazul,Preterax Com-Rec x5/1.25MG x30,Preterax,41.4,41.4,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/preterax-com-rec-x5-1-25mg-x30/p
Perindopril,cruzazul,Coversyl Com-Rec x10MG x30,Coversyl,32.32,32.32,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/coversyl-com-rec-x10mg-x30/p
Perindopril,cruzazul,Coversyl Com-Rec x5MG x30,Coversyl,24.72,24.72,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/coversyl-com-rec-x5mg-x30/p
Perindopril,cruzazul,Coveram Com x5/5MG x30,Coveram,48.0,48.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/coveram-com-x5-5mg-x30/p
Enalapril/Hidroclorotiazida,pharmacys,Enalten 20/12.5mg ecuaquimica - saval comprimidos,Enalten,15.6,15.6,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/enalten-20-125mg-ecuaquimica-saval-comprimidos/p
Enalapril/Hidroclorotiazida,pharmacys,Enalten 10/25mg ecuaquimica - saval comprimidos,Enalten,9.9,9.9,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/enalten-10-25mg-ecuaquimica-saval-comprimidos/p
Enalapril/Hidroclorotiazida,cruzazul,Enalten 20/12.5mg ecuaquimica - saval comprimidos,Enalten,15.6,15.6,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/enalten-20-125mg-ecuaquimica-saval-comprimidos/p
Enalapril/Hidroclorotiazida,cruzazul,Enalten 10/25mg ecuaquimica - saval comprimidos,Enalten,9.9,9.9,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/enalten-10-25mg-ecuaquimica-saval-comprimidos/p
Losartan,pharmacys,Losartan 50mg labovida tableta recubierta,Losartan,7.5,7.5,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/losartan-50mg-labovida-tableta-recubierta/p
Losartan,pharmacys,Losartan 100mg labovida tableta recubierta,Losartan,19.5,19.5,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/losartan-100mg-labovida-tableta-recubierta/p
Losartan,pharmacys,Losartán 50 Mg x 30 Tabletas,Losartan,10.8,10.8,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/losartan-50mg-la-sante-tableta/p
Losartan,pharmacys,Losartan 50mg leterago - genfar comprimidos,Losartan,6.9,6.9,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/losartan-50mg-leterago-genfar-comprimidos/p
Losartan,pharmacys,Losartan Potásico Tabletas x30 - 100Mg,Losartan,21.0,21.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/losartan-potasi-t-recx100mgx30-lste/p
Losartan,pharmacys,Losartán 100 MG Tabletas Recubiertas x20,Losartan,14.0,14.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/losartan-100mg-dyvenpro-ecuagen-tableta-recubierta/p
Losartan,pharmacys,Losartán 50 mg Tabletas Recubiertas x30,Losartan,5.4,5.4,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/losartan-50mg-la-sante-tabletas-recubiertas/p
Losartan,pharmacys,Losartan 50mg dyvenpro ecuagen tableta recubierta,Losartan,6.6,6.6,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/losartan-50mg-dyvenpro-ecuagen-tableta-recubierta/p
